method_name,commit,committer,date,file_name,status,start_line,end_line
Jop::initialize,f3e1480f872c60362ac1e375b1a62f1659bd3afb,Michael Feathers,2013-09-14 19:27:24 +0200,lib/jop.rb,added,4,6
Jop::eval_on,f3e1480f872c60362ac1e375b1a62f1659bd3afb,Michael Feathers,2013-09-14 19:27:24 +0200,lib/jop.rb,added,8,10
Array::j,f3e1480f872c60362ac1e375b1a62f1659bd3afb,Michael Feathers,2013-09-14 19:27:24 +0200,lib/jop.rb,added,14,16
SPEC::Jop::does identity,f3e1480f872c60362ac1e375b1a62f1659bd3afb,Michael Feathers,2013-09-14 19:27:24 +0200,spec/jop_spec.rb,added,5,7
SPEC::Jop::can add,ca7a6990e48a6050e2abad0164b1a76f718c601c,Michael Feathers,2013-09-14 19:49:55 +0200,spec/jop_spec.rb,added,9,11
Jop::eval_on,ca7a6990e48a6050e2abad0164b1a76f718c601c,Michael Feathers,2013-09-14 19:49:55 +0200,lib/jop.rb,changed,8,12
SPEC::Jop::does identity,ca7a6990e48a6050e2abad0164b1a76f718c601c,Michael Feathers,2013-09-14 19:49:55 +0200,spec/jop_spec.rb,changed,5,7
SPEC::Jop::can multiply,a6250a2e2e57450c64aa0f94f84b53a10de0dd09,Michael Feathers,2013-09-14 20:23:24 +0200,spec/jop_spec.rb,added,13,15
Jop::eval_on,a6250a2e2e57450c64aa0f94f84b53a10de0dd09,Michael Feathers,2013-09-14 20:23:24 +0200,lib/jop.rb,changed,8,13
SPEC::Jop::does identity,a6250a2e2e57450c64aa0f94f84b53a10de0dd09,Michael Feathers,2013-09-14 20:23:24 +0200,spec/jop_spec.rb,changed,5,7
SPEC::Jop::can add,a6250a2e2e57450c64aa0f94f84b53a10de0dd09,Michael Feathers,2013-09-14 20:23:24 +0200,spec/jop_spec.rb,changed,9,11
Jop::eval_on,06fc32841835c6185aa050b8bc4241eaf5470b99,Michael Feathers,2013-09-14 20:26:12 +0200,lib/jop.rb,changed,8,17
